phi,p,T_r,S_L_Cantera,S_L_analitica
0.1,101325.0,298.0,2.126384758864763,7.851062295418472
0.2,101325.0,298.0,55.68756148666796,116.72403760477523
0.3,101325.0,298.0,131.10845234013908,250.7063484858826
0.4,101325.0,298.0,193.38159444505584,316.4915805221713
0.5,101325.0,298.0,240.6342185858425,344.78413628095774
0.6,101325.0,298.0,274.67947636401595,355.26248874085707
0.7,101325.0,298.0,297.3567828339277,356.31156524015546
0.7999999999999999,101325.0,298.0,310.4833375597515,351.71788937968296
0.8999999999999999,101325.0,298.0,315.4504351456475,343.29091826595504
1.0,101325.0,298.0,313.417525022756,331.89105935110365
1.1,101325.0,298.0,305.13568556603104,317.8732474547276
1.2,101325.0,298.0,291.3999176858323,301.3044103402358
1.3,101325.0,298.0,272.84487731692485,282.1012536275084
1.4,101325.0,298.0,250.0094719011952,260.1662745766427
1.5,101325.0,298.0,223.60218282212844,235.56739964053403
1.6,101325.0,298.0,195.81909145692205,208.7453821162844
1.7,101325.0,298.0,168.20846890964816,180.6219344667685
1.8,101325.0,298.0,142.54157633607082,152.4513952863079
1.9,101325.0,298.0,119.80429408466028,125.47315811405812
2.0,101325.0,298.0,100.48643747602186,100.63853851437854
0.5,400000.0,298.0,204.8978386416199,216.8717917476938
0.5,675000.0,298.0,188.84892072321688,180.9990298460341
0.5,950000.0,298.0,178.2323617992252,160.61124446153832
0.5,1225000.0,298.0,170.8816445244012,146.83588326929572
0.5,1500000.0,298.0,164.57422643176875,136.6458310354089
1.0,101325.0,300.0,315.5938723081507,331.7165491998968
1.0,200000.0,300.0,305.0617501664466,269.1020861733029
1.0,300000.0,300.0,297.7314528691599,237.33018223349836
1.0,700000.0,300.0,279.32012515291376,182.07665129850037
1.0,1575000.0,300.0,259.0535908167176,140.77965320062486
1.0,3050000.0,300.0,241.38460007130124,113.8161410895481
1.0,4525000.0,300.0,230.60547723385704,100.10966326602112
1.0,6000000.0,300.0,223.19693989515747,91.26739507888485
1.0,100000.0,373.0,404.1644730469365,330.3045541759015
1.0,101325.0,373.0,403.90732184107503,328.9477460061825
1.0,200000.0,373.0,390.41336084168535,265.7286685957527
1.0,300000.0,373.0,381.1063288286704,233.78797332617597
1.0,500000.0,373.0,367.5810082833997,198.7638123190864
1.0,700000.0,373.0,358.0312208032263,178.49766395212393
1.0,1575000.0,373.0,332.5301240141431,137.42162858959088
1.0,3050000.0,373.0,310.1680165519455,110.73922979395648
1.0,4525000.0,373.0,296.68557495736724,97.22340901961005
1.0,6000000.0,373.0,286.9916163081533,88.5230174668916
1.0,100000.0,500.0,569.741760510949,336.3775517549326
1.0,101325.0,500.0,569.2829297938722,334.9516804057741
1.0,200000.0,500.0,551.4489252439402,268.7879219287808
1.0,300000.0,500.0,538.9094037046389,235.5813268488461
1.0,500000.0,500.0,520.6847126558567,199.36382734583128
1.0,700000.0,500.0,507.7084361026485,178.5099696101084
1.0,1575000.0,500.0,472.8576115833439,136.5053772107943
1.0,3050000.0,500.0,441.78430234956,109.43592191388416
1.0,4525000.0,500.0,423.2491433496223,95.79916876626206
1.0,6000000.0,500.0,409.366077246426,87.0505524756478
1.0,100000.0,300.0,315.79047193355404,333.05678997364765
1.0,500000.0,300.0,287.57609540179755,202.37006001851782
1.0,1000000.0,300.0,270.44790139797465,162.67467573764847
1.0,100000.0,357.14285714285717,384.5613943082923,330.3876598453608
1.0,500000.0,357.14285714285717,350.344995556664,199.22042951308063
1.0,1000000.0,357.14285714285717,329.93143980786823,159.66392864213265
1.0,100000.0,414.2857142857143,456.3061993125242,331.11488216860863
1.0,500000.0,414.2857142857143,416.45458078223385,198.2247494013654
1.0,1000000.0,414.2857142857143,392.5301487394642,158.41690084196583
1.0,100000.0,471.42857142857144,530.9553833179614,334.18061221724133
1.0,500000.0,471.42857142857144,485.62285368275406,198.70560637745584
1.0,1000000.0,471.42857142857144,458.39074820234134,158.37758031823682
1.0,100000.0,528.5714285714286,609.5345537195782,338.93548308915814
1.0,500000.0,528.5714285714286,558.4627602839003,200.24861925469395
1.0,1000000.0,528.5714285714286,528.3037682077469,159.2061890894758
1.0,100000.0,585.7142857142858,692.5746642979763,344.9491378927847
1.0,500000.0,585.7142857142858,635.9570231290143,202.58089674114478
1.0,1000000.0,585.7142857142858,602.2328811238884,160.67939440675926
1.0,100000.0,642.8571428571429,781.2550880789811,351.9171933235312
1.0,500000.0,642.8571428571429,717.1936023741162,205.5113228957858
1.0,1000000.0,642.8571428571429,679.8896654201726,162.64127047734223
1.0,100000.0,700.0,874.6041627269216,359.61190248511656
1.0,500000.0,700.0,803.2394573343377,208.89887063058316
1.0,1000000.0,700.0,762.4066576433225,164.97726905497652
