phi,Dq0_p (J/kg),q0_p disociación (J/kg),Error relativo (porcentaje)
0.2,59012.74617806207,59013.041878073476,-0.0005010782086154633
0.26666666666666666,263451.79568101163,263453.06813205406,-0.0004829919792883718
0.33333333333333337,591587.9045484895,591590.7016609139,-0.000472814336278065
0.4,981161.1195333501,981165.6998237092,-0.0004668234674111528
0.4666666666666667,1398392.717835399,1398399.1926982198,-0.0004630217776537228
0.5333333333333333,1827266.9379977805,1827275.3525793059,-0.0004605009454498521
0.6,2259784.3820288074,2259794.7501438707,-0.00045880992654629614
0.6000000000000001,2259784.3820287967,2259794.7501438595,-0.0004588099265256918
0.6666666666666667,2691740.5198265235,2691752.8399878694,-0.0004577024142978865
0.7333333333333334,3120898.0078933416,3120912.2714499477,-0.00045703373099861095
0.8,3546133.611733094,3546149.8074419824,-0.0004567145703420801
0.8666666666666667,3967009.837188562,3967027.9540658556,-0.0004566884892455769
0.9333333333333333,4383532.655657525,4383552.685000587,-0.0004569224101987684
1.0,4766876.110936239,4766898.101664959,-0.00046132368889637845
1.0666666666666667,4541284.161865467,4541309.230576773,-0.0005520181167361865
1.1333333333333333,4307846.960655263,4307875.124131703,-0.0006537715173577171
1.2,4088362.1597888498,4088393.4045865694,-0.0007642375234501291
1.2666666666666666,3884362.573725852,3884396.8952785404,-0.000883582622292
1.3333333333333333,3697012.7994231577,3697050.204302077,-0.0010117595190721213
1.4,3527502.004375974,3527542.5113441357,-0.0011483187851149832
1.4666666666666666,3377017.7382087214,3377061.378342569,-0.0012922684223338025
1.5333333333333332,3246601.161290016,3246647.9767993977,-0.00144198523489415
1.5999999999999999,3136952.2655207785,3137002.3069667453,-0.001595224974151859
1.6666666666666665,3048262.4247726607,3048315.746846079,-0.0017492612507651192
1.7333333333333332,2980160.747422811,2980217.404102519,-0.0019011283118550114
1.8,2931812.8011046383,2931872.8413959173,-0.002047889662548268
